team_name,home_wins,home_draws,home_loses,away_wins,away_draws,away_loses,team_wins,team_draws,team_loses,Gls,Ast,PrgC,PrgP,PrgR,points
Manchester City,14,5,0,14,2,3,28,7,3,94.0,69.0,1127.0,2060.0,2032.0,91
Arsenal,15,2,2,13,3,3,28,5,5,86.0,62.0,821.0,2106.0,2088.0,89
Liverpool,15,3,1,9,7,3,24,10,4,80.0,60.0,924.0,2110.0,2091.0,82
Aston Villa,12,4,3,8,4,7,20,8,10,72.0,55.0,775.0,1451.0,1438.0,68
Tottenham Hotspur,13,0,6,7,6,6,20,6,12,69.0,58.0,957.0,2107.0,2097.0,66
Chelsea,11,4,4,7,5,7,18,9,11,76.0,51.0,873.0,1615.0,1600.0,63
Newcastle United,12,4,3,6,2,11,18,6,14,83.0,55.0,737.0,1557.0,1545.0,60
Manchester United,10,3,6,8,3,8,18,6,14,57.0,36.0,759.0,1479.0,1467.0,60
West Ham United,7,8,4,7,2,10,14,10,14,58.0,40.0,556.0,1207.0,1192.0,52
Crystal Palace,8,4,7,5,6,8,13,10,15,56.0,43.0,506.0,1176.0,1161.0,49
Brighton & Hove Albion,8,6,5,4,6,9,12,12,14,50.0,36.0,864.0,1780.0,1767.0,48
AFC Bournemouth,7,6,6,6,3,10,13,9,16,52.0,39.0,709.0,1314.0,1296.0,48
Everton,8,4,7,5,5,9,13,9,16,40.0,17.0,495.0,1129.0,1119.0,48
Fulham,9,2,8,4,6,9,13,8,17,54.0,40.0,670.0,1467.0,1452.0,47
Wolverhampton Wanderers,8,3,8,5,4,10,13,7,18,47.0,36.0,671.0,1180.0,1163.0,46
Brentford,5,7,7,5,2,12,10,9,19,54.0,38.0,505.0,1283.0,1276.0,39
Nottingham Forest,5,5,9,4,4,11,9,9,20,49.0,43.0,604.0,1140.0,1122.0,36
Luton Town,4,4,11,2,4,13,6,8,24,49.0,33.0,675.0,1113.0,1094.0,26
Burnley,2,4,13,3,5,11,5,9,24,40.0,30.0,727.0,1181.0,1162.0,24
Sheffield United,2,4,13,1,3,15,3,7,28,31.0,18.0,343.0,884.0,874.0,16
